CODIGO DE CLIENTE;CODIGO UNICO;PUNTOS;FECHA;OBSERVACIONES;MOTIVO
41738;IPV985;500;31/01/2017;Volumen Enero;VOLUMEN
41817;TND670;500;31/01/2017;Volumen Enero;VOLUMEN
9844;HUW942;500;31/01/2017;Volumen Enero;VOLUMEN
9908;VFL854;500;31/01/2017;Volumen Enero;VOLUMEN
10502;EBY938;500;31/01/2017;Volumen Enero;VOLUMEN
10640;ACP544;500;31/01/2017;Volumen Enero;VOLUMEN
11162;OAG106;500;31/01/2017;Volumen Enero;VOLUMEN
12300;AFC148;500;31/01/2017;Volumen Enero;VOLUMEN
1302;WSC383;500;31/01/2017;Volumen Enero;VOLUMEN
13088;FCO203;500;31/01/2017;Volumen Enero;VOLUMEN
14515;WFE446;500;31/01/2017;Volumen Enero;VOLUMEN
14756;OAD213;500;31/01/2017;Volumen Enero;VOLUMEN
2335;NAK147;500;31/01/2017;Volumen Enero;VOLUMEN
4960;AJX642;500;31/01/2017;Volumen Enero;VOLUMEN
7517;MFN231;500;31/01/2017;Volumen Enero;VOLUMEN
8220;MIL664;500;31/01/2017;Volumen Enero;VOLUMEN
9877;DRS711;500;31/01/2017;Volumen Enero;VOLUMEN
10450;XIO622;500;31/01/2017;Volumen Enero;VOLUMEN
10795;MPL492;500;31/01/2017;Volumen Enero;VOLUMEN
11755;BXF653;500;31/01/2017;Volumen Enero;VOLUMEN
12071;HWH720;500;31/01/2017;Volumen Enero;VOLUMEN
12679;MGY584;500;31/01/2017;Volumen Enero;VOLUMEN
13031;OLE571;500;31/01/2017;Volumen Enero;VOLUMEN
14375;WLI300;500;31/01/2017;Volumen Enero;VOLUMEN
14466;HYY459;500;31/01/2017;Volumen Enero;VOLUMEN
15047;RLP602;500;31/01/2017;Volumen Enero;VOLUMEN
15184;FPI386;500;31/01/2017;Volumen Enero;VOLUMEN
15401;CRU502;500;31/01/2017;Volumen Enero;VOLUMEN
15609;NNW501;500;31/01/2017;Volumen Enero;VOLUMEN
3497;VGX114;500;31/01/2017;Volumen Enero;VOLUMEN
7964;IZZ576;500;31/01/2017;Volumen Enero;VOLUMEN
952;HJY656;500;31/01/2017;Volumen Enero;VOLUMEN
9845;ZPM471;500;31/01/2017;Volumen Enero;VOLUMEN
105322;NFA826;500;31/01/2017;Volumen Enero;VOLUMEN
109452;AJF236;500;31/01/2017;Volumen Enero;VOLUMEN
10449;QAF313;500;31/01/2017;Volumen Enero;VOLUMEN
13923;JWI639;500;31/01/2017;Volumen Enero;VOLUMEN
14698;CXD656;500;31/01/2017;Volumen Enero;VOLUMEN
1510;UAJ817;500;31/01/2017;Volumen Enero;VOLUMEN
16955;UED985;500;31/01/2017;Volumen Enero;VOLUMEN
17929;XKL312;500;31/01/2017;Volumen Enero;VOLUMEN
3233;YOA616;500;31/01/2017;Volumen Enero;VOLUMEN
3760;ADR839;500;31/01/2017;Volumen Enero;VOLUMEN
714;RIH125;500;31/01/2017;Volumen Enero;VOLUMEN
9513;NDL360;500;31/01/2017;Volumen Enero;VOLUMEN
70454;QOX697;500;31/01/2017;Volumen Enero;VOLUMEN
99124;TTH272;500;31/01/2017;Volumen Enero;VOLUMEN
99239;AQC912;500;31/01/2017;Volumen Enero;VOLUMEN
99282;YDL135;500;31/01/2017;Volumen Enero;VOLUMEN
99548;UZU493;500;31/01/2017;Volumen Enero;VOLUMEN
123;PFT706;500;31/01/2017;Volumen Enero;VOLUMEN
21009;YWE752;500;31/01/2017;Volumen Enero;VOLUMEN
118067;FSX406;500;31/01/2017;Volumen Enero;VOLUMEN
224059;YDM239;500;31/01/2017;Volumen Enero;VOLUMEN
224081;DVH287;500;31/01/2017;Volumen Enero;VOLUMEN
505151;OXD442;500;31/01/2017;Volumen Enero;VOLUMEN
509002;JMQ741;500;31/01/2017;Volumen Enero;VOLUMEN
509004;FKF101;500;31/01/2017;Volumen Enero;VOLUMEN
509012;WTN931;500;31/01/2017;Volumen Enero;VOLUMEN
907131;HFB249;500;31/01/2017;Volumen Enero;VOLUMEN
10316;NFV368;500;31/01/2017;Volumen Enero;VOLUMEN
10633;WCV791;500;31/01/2017;Volumen Enero;VOLUMEN
11028;XLE629;500;31/01/2017;Volumen Enero;VOLUMEN
2313;GXW514;500;31/01/2017;Volumen Enero;VOLUMEN
2472;XSI474;500;31/01/2017;Volumen Enero;VOLUMEN
2862;KJR943;500;31/01/2017;Volumen Enero;VOLUMEN
3139;ROX763;500;31/01/2017;Volumen Enero;VOLUMEN
5176;QQZ805;500;31/01/2017;Volumen Enero;VOLUMEN
6305;IEM624;500;31/01/2017;Volumen Enero;VOLUMEN
7644;SQT140;500;31/01/2017;Volumen Enero;VOLUMEN
79;OZY627;500;31/01/2017;Volumen Enero;VOLUMEN
316;WIK690;500;31/01/2017;Volumen Enero;VOLUMEN
5623;HXN227;500;31/01/2017;Volumen Enero;VOLUMEN
6036;JUE204;500;31/01/2017;Volumen Enero;VOLUMEN
6816;SIF883;500;31/01/2017;Volumen Enero;VOLUMEN
710;HJJ114;500;31/01/2017;Volumen Enero;VOLUMEN
11642;HWL127;500;31/01/2017;Volumen Enero;VOLUMEN
13550;QPU200;500;31/01/2017;Volumen Enero;VOLUMEN
5124;CZD190;500;31/01/2017;Volumen Enero;VOLUMEN
5594;KLS868;500;31/01/2017;Volumen Enero;VOLUMEN
10243;SSF949;500;31/01/2017;Volumen Enero;VOLUMEN
13268;OKI932;500;31/01/2017;Volumen Enero;VOLUMEN
17876;OBZ914;500;31/01/2017;Volumen Enero;VOLUMEN
18041;JEW436;500;31/01/2017;Volumen Enero;VOLUMEN
40116;PDO223;500;31/01/2017;Volumen Enero;VOLUMEN
4296;NQZ642;500;31/01/2017;Volumen Enero;VOLUMEN
60139;NZN893;500;31/01/2017;Volumen Enero;VOLUMEN
60151;XWX888;500;31/01/2017;Volumen Enero;VOLUMEN
60152;SDR843;500;31/01/2017;Volumen Enero;VOLUMEN
159;GIM898;500;31/01/2017;Volumen Enero;VOLUMEN
1808;PXP502;500;31/01/2017;Volumen Enero;VOLUMEN
1907;PRC928;500;31/01/2017;Volumen Enero;VOLUMEN
2751;QBE693;500;31/01/2017;Volumen Enero;VOLUMEN
4321;EDN267;500;31/01/2017;Volumen Enero;VOLUMEN
4416;QYI965;500;31/01/2017;Volumen Enero;VOLUMEN
4524;AHO564;500;31/01/2017;Volumen Enero;VOLUMEN
6326;ZNX324;500;31/01/2017;Volumen Enero;VOLUMEN
7464;EWZ197;500;31/01/2017;Volumen Enero;VOLUMEN
7551;LLI248;500;31/01/2017;Volumen Enero;VOLUMEN
906;XHC890;500;31/01/2017;Volumen Enero;VOLUMEN
10058;VVJ569;500;31/01/2017;Volumen Enero;VOLUMEN
1298;GJI681;500;31/01/2017;Volumen Enero;VOLUMEN
1350;UTM347;500;31/01/2017;Volumen Enero;VOLUMEN
2021;JKE825;500;31/01/2017;Volumen Enero;VOLUMEN
2029;JWM838;500;31/01/2017;Volumen Enero;VOLUMEN
2046;UUX406;500;31/01/2017;Volumen Enero;VOLUMEN
2753;ZGJ219;500;31/01/2017;Volumen Enero;VOLUMEN
2984;NFH331;500;31/01/2017;Volumen Enero;VOLUMEN
5390;RFB505;500;31/01/2017;Volumen Enero;VOLUMEN
7622;NNV608;500;31/01/2017;Volumen Enero;VOLUMEN
7837;OIJ776;500;31/01/2017;Volumen Enero;VOLUMEN
9922;ZXE603;500;31/01/2017;Volumen Enero;VOLUMEN
378382;CJO667;500;31/01/2017;Volumen Enero;VOLUMEN
384994;APB971;500;31/01/2017;Volumen Enero;VOLUMEN
151337;VCX396;500;31/01/2017;Volumen Enero;VOLUMEN
11841;XIG684;500;31/01/2017;Volumen Enero;VOLUMEN
15096;FGZ939;500;31/01/2017;Volumen Enero;VOLUMEN
15791;IIS724;500;31/01/2017;Volumen Enero;VOLUMEN
16081;EDL710;500;31/01/2017;Volumen Enero;VOLUMEN
3146;SEB878;500;31/01/2017;Volumen Enero;VOLUMEN
375573;IUW996;500;31/01/2017;Volumen Enero;VOLUMEN
395348;IPA444;500;31/01/2017;Volumen Enero;VOLUMEN
395921;IJM746;500;31/01/2017;Volumen Enero;VOLUMEN
395722;TWL659;500;31/01/2017;Volumen Enero;VOLUMEN
374570;KXW843;500;31/01/2017;Volumen Enero;VOLUMEN
157459;XSL483;500;31/01/2017;Volumen Enero;VOLUMEN
372252;RJX811;500;31/01/2017;Volumen Enero;VOLUMEN
71;DUR300;500;31/01/2017;Volumen Enero;VOLUMEN
372867;GPG705;500;31/01/2017;Volumen Enero;VOLUMEN
817924;TMD494;500;31/01/2017;Volumen Enero;VOLUMEN
362721;RHX316;500;31/01/2017;Volumen Enero;VOLUMEN
905704;TIA419;500;31/01/2017;Volumen Enero;VOLUMEN
10679;RSX122;500;31/01/2017;Volumen Enero;VOLUMEN
10249;EQX163;500;31/01/2017;Volumen Enero;VOLUMEN
96023;DNF247;500;31/01/2017;Volumen Enero;VOLUMEN
10315;HDK622;500;31/01/2017;Volumen Enero;VOLUMEN
10478;CLL295;500;31/01/2017;Volumen Enero;VOLUMEN
385488;HCF897;500;31/01/2017;Volumen Enero;VOLUMEN
883470;DWJ724;500;31/01/2017;Volumen Enero;VOLUMEN
353070;YUD496;500;31/01/2017;Volumen Enero;VOLUMEN
393075;ROA331;500;31/01/2017;Volumen Enero;VOLUMEN
306077;GDI212;500;31/01/2017;Volumen Enero;VOLUMEN
172977;JPF414;500;31/01/2017;Volumen Enero;VOLUMEN
1493;AYZ984;500;31/01/2017;Volumen Enero;VOLUMEN
4371;MJJ698;500;31/01/2017;Volumen Enero;VOLUMEN
4644;AKO346;500;31/01/2017;Volumen Enero;VOLUMEN
4469;AGC238;500;31/01/2017;Volumen Enero;VOLUMEN
2436;QIL207;500;31/01/2017;Volumen Enero;VOLUMEN
1920;HWA609;500;31/01/2017;Volumen Enero;VOLUMEN
2124;JLY542;500;31/01/2017;Volumen Enero;VOLUMEN
7031;AUO700;500;31/01/2017;Volumen Enero;VOLUMEN
2157;QCP286;500;31/01/2017;Volumen Enero;VOLUMEN
1974;SNA423;500;31/01/2017;Volumen Enero;VOLUMEN
356780;ZNJ208;500;31/01/2017;Volumen Enero;VOLUMEN
396650;IOF141;500;31/01/2017;Volumen Enero;VOLUMEN
5379;QEP791;500;31/01/2017;Volumen Enero;VOLUMEN
169868;CKA743;500;31/01/2017;Volumen Enero;VOLUMEN
11315;RPR968;300;31/01/2017;Cobertura Enero;COBERTURA
9073;QCM175;300;31/01/2017;Cobertura Enero;COBERTURA
40116;PDO223;300;31/01/2017;Cobertura Enero;COBERTURA
159;GIM898;300;31/01/2017;Cobertura Enero;COBERTURA
5390;RFB505;300;31/01/2017;Cobertura Enero;COBERTURA
10508;LUO825;250;31/01/2017;Cobertura Enero;COBERTURA
28835;ZZX640;250;31/01/2017;Cobertura Enero;COBERTURA
47001;GMS551;250;31/01/2017;Cobertura Enero;COBERTURA
6305;IEM624;250;31/01/2017;Cobertura Enero;COBERTURA
8913;TNB105;250;31/01/2017;Cobertura Enero;COBERTURA
6036;JUE204;250;31/01/2017;Cobertura Enero;COBERTURA
2299;EWA143;250;31/01/2017;Cobertura Enero;COBERTURA
14660;NGD608;250;31/01/2017;Cobertura Enero;COBERTURA
371997;KPO435;200;31/01/2017;Cobertura Enero;COBERTURA
381882;VWF799;200;31/01/2017;Cobertura Enero;COBERTURA
313451;HZU925;200;31/01/2017;Cobertura Enero;COBERTURA
160287;OCL287;200;31/01/2017;Cobertura Enero;COBERTURA
370879;CJS541;200;31/01/2017;Cobertura Enero;COBERTURA
100526;KVY651;200;31/01/2017;Cobertura Enero;COBERTURA
136572;IQJ698;200;31/01/2017;Cobertura Enero;COBERTURA
142094;LQF734;200;31/01/2017;Cobertura Enero;COBERTURA
145610;GEZ668;200;31/01/2017;Cobertura Enero;COBERTURA
171445;DLJ962;200;31/01/2017;Cobertura Enero;COBERTURA
173080;OLD340;200;31/01/2017;Cobertura Enero;COBERTURA
173689;LGG938;200;31/01/2017;Cobertura Enero;COBERTURA
174099;WYU400;200;31/01/2017;Cobertura Enero;COBERTURA
174798;XPC647;200;31/01/2017;Cobertura Enero;COBERTURA
177849;DOW124;200;31/01/2017;Cobertura Enero;COBERTURA
186593;NPV563;200;31/01/2017;Cobertura Enero;COBERTURA
187742;SXT420;200;31/01/2017;Cobertura Enero;COBERTURA
188715;HJL260;200;31/01/2017;Cobertura Enero;COBERTURA
300336;ZTX991;200;31/01/2017;Cobertura Enero;COBERTURA
301740;HDL765;200;31/01/2017;Cobertura Enero;COBERTURA
305103;GFC837;200;31/01/2017;Cobertura Enero;COBERTURA
305747;COV990;200;31/01/2017;Cobertura Enero;COBERTURA
308743;PWZ888;200;31/01/2017;Cobertura Enero;COBERTURA
309665;QOR404;200;31/01/2017;Cobertura Enero;COBERTURA
310030;BGQ133;200;31/01/2017;Cobertura Enero;COBERTURA
312899;NEZ339;200;31/01/2017;Cobertura Enero;COBERTURA
313070;KPI575;200;31/01/2017;Cobertura Enero;COBERTURA
324428;WIL765;200;31/01/2017;Cobertura Enero;COBERTURA
325259;WXN729;200;31/01/2017;Cobertura Enero;COBERTURA
326886;OSP507;200;31/01/2017;Cobertura Enero;COBERTURA
328769;TCA489;200;31/01/2017;Cobertura Enero;COBERTURA
329678;BVL833;200;31/01/2017;Cobertura Enero;COBERTURA
330049;WDF407;200;31/01/2017;Cobertura Enero;COBERTURA
331052;LSS128;200;31/01/2017;Cobertura Enero;COBERTURA
334352;XYV674;200;31/01/2017;Cobertura Enero;COBERTURA
334861;PCK338;200;31/01/2017;Cobertura Enero;COBERTURA
342745;CKW512;200;31/01/2017;Cobertura Enero;COBERTURA
342803;UVD822;200;31/01/2017;Cobertura Enero;COBERTURA
345250;NJL756;200;31/01/2017;Cobertura Enero;COBERTURA
354706;GDT830;200;31/01/2017;Cobertura Enero;COBERTURA
358282;HUQ727;200;31/01/2017;Cobertura Enero;COBERTURA
358823;ONS684;200;31/01/2017;Cobertura Enero;COBERTURA
359158;CND359;200;31/01/2017;Cobertura Enero;COBERTURA
360029;BFZ784;200;31/01/2017;Cobertura Enero;COBERTURA
363567;VSC135;200;31/01/2017;Cobertura Enero;COBERTURA
363998;VUQ164;200;31/01/2017;Cobertura Enero;COBERTURA
365507;HGS848;200;31/01/2017;Cobertura Enero;COBERTURA
367493;IPK818;200;31/01/2017;Cobertura Enero;COBERTURA
368528;YBY874;200;31/01/2017;Cobertura Enero;COBERTURA
368782;QOS776;200;31/01/2017;Cobertura Enero;COBERTURA
369484;ZCP489;200;31/01/2017;Cobertura Enero;COBERTURA
369746;NLM113;200;31/01/2017;Cobertura Enero;COBERTURA
370498;KPR417;200;31/01/2017;Cobertura Enero;COBERTURA
370930;WGQ746;200;31/01/2017;Cobertura Enero;COBERTURA
371938;ZPO470;200;31/01/2017;Cobertura Enero;COBERTURA
372149;DBV869;200;31/01/2017;Cobertura Enero;COBERTURA
372191;JGJ973;200;31/01/2017;Cobertura Enero;COBERTURA
372832;NJE303;200;31/01/2017;Cobertura Enero;COBERTURA
373253;QXW380;200;31/01/2017;Cobertura Enero;COBERTURA
373768;FSD892;200;31/01/2017;Cobertura Enero;COBERTURA
374464;ARY992;200;31/01/2017;Cobertura Enero;COBERTURA
375999;AUZ249;200;31/01/2017;Cobertura Enero;COBERTURA
376100;RDX160;200;31/01/2017;Cobertura Enero;COBERTURA
376327;ZOY504;200;31/01/2017;Cobertura Enero;COBERTURA
377186;DSX792;200;31/01/2017;Cobertura Enero;COBERTURA
377308;RLL621;200;31/01/2017;Cobertura Enero;COBERTURA
378378;AGE874;200;31/01/2017;Cobertura Enero;COBERTURA
378384;WUN713;200;31/01/2017;Cobertura Enero;COBERTURA
378688;TSE666;200;31/01/2017;Cobertura Enero;COBERTURA
379601;ILW520;200;31/01/2017;Cobertura Enero;COBERTURA
380642;AUK986;200;31/01/2017;Cobertura Enero;COBERTURA
382975;IGD401;200;31/01/2017;Cobertura Enero;COBERTURA
384370;CTB675;200;31/01/2017;Cobertura Enero;COBERTURA
388256;MTU591;200;31/01/2017;Cobertura Enero;COBERTURA
389111;KKK458;200;31/01/2017;Cobertura Enero;COBERTURA
389440;UQO979;200;31/01/2017;Cobertura Enero;COBERTURA
389652;FGY568;200;31/01/2017;Cobertura Enero;COBERTURA
389787;UEF762;200;31/01/2017;Cobertura Enero;COBERTURA
389871;PLP772;200;31/01/2017;Cobertura Enero;COBERTURA
391880;JBC941;200;31/01/2017;Cobertura Enero;COBERTURA
392961;MYX210;200;31/01/2017;Cobertura Enero;COBERTURA
393221;EEP170;200;31/01/2017;Cobertura Enero;COBERTURA
