CODIGO CLIENTE;CODIGO UNICO;PUNTOS;FECHA;OBSERVACIONES;MOTIVO
31562;ATN754;500;28/02/2017;Volumen Febrero;VOLUMEN
32084;JBB540;500;28/02/2017;Volumen Febrero;VOLUMEN
32167;ELR650;500;28/02/2017;Volumen Febrero;VOLUMEN
34216;IYF153;500;28/02/2017;Volumen Febrero;VOLUMEN
34302;OXA753;500;28/02/2017;Volumen Febrero;VOLUMEN
34471;GSV425;500;28/02/2017;Volumen Febrero;VOLUMEN
35234;FBL711;500;28/02/2017;Volumen Febrero;VOLUMEN
35485;MDB632;500;28/02/2017;Volumen Febrero;VOLUMEN
35540;ONM580;500;28/02/2017;Volumen Febrero;VOLUMEN
36107;TDN338;500;28/02/2017;Volumen Febrero;VOLUMEN
37115;VDC990;500;28/02/2017;Volumen Febrero;VOLUMEN
38079;ZPY666;500;28/02/2017;Volumen Febrero;VOLUMEN
38634;FNQ418;500;28/02/2017;Volumen Febrero;VOLUMEN
39241;LGD441;500;28/02/2017;Volumen Febrero;VOLUMEN
39535;UPR188;500;28/02/2017;Volumen Febrero;VOLUMEN
39972;BLC838;500;28/02/2017;Volumen Febrero;VOLUMEN
40537;TDQ357;500;28/02/2017;Volumen Febrero;VOLUMEN
40682;LDO520;500;28/02/2017;Volumen Febrero;VOLUMEN
41452;ZNB123;500;28/02/2017;Volumen Febrero;VOLUMEN
41495;CCC899;500;28/02/2017;Volumen Febrero;VOLUMEN
41685;QEF127;500;28/02/2017;Volumen Febrero;VOLUMEN
41689;VAO594;500;28/02/2017;Volumen Febrero;VOLUMEN
41724;RSW181;500;28/02/2017;Volumen Febrero;VOLUMEN
41738;IPV985;500;28/02/2017;Volumen Febrero;VOLUMEN
41817;TND670;500;28/02/2017;Volumen Febrero;VOLUMEN
41992;FEU426;500;28/02/2017;Volumen Febrero;VOLUMEN
42099;DGZ739;500;28/02/2017;Volumen Febrero;VOLUMEN
7099;BGM162;500;28/02/2017;Volumen Febrero;VOLUMEN
7754;OGP900;500;28/02/2017;Volumen Febrero;VOLUMEN
9844;HUW942;500;28/02/2017;Volumen Febrero;VOLUMEN
9908;VFL854;500;28/02/2017;Volumen Febrero;VOLUMEN
9909;UDO885;500;28/02/2017;Volumen Febrero;VOLUMEN
10271;UDU731;500;28/02/2017;Volumen Febrero;VOLUMEN
10616;YYQ774;500;28/02/2017;Volumen Febrero;VOLUMEN
10640;ACP544;500;28/02/2017;Volumen Febrero;VOLUMEN
1093;BAC773;500;28/02/2017;Volumen Febrero;VOLUMEN
11081;EYV399;500;28/02/2017;Volumen Febrero;VOLUMEN
11344;DAZ662;500;28/02/2017;Volumen Febrero;VOLUMEN
11481;UYR319;500;28/02/2017;Volumen Febrero;VOLUMEN
11487;SZJ742;500;28/02/2017;Volumen Febrero;VOLUMEN
11632;NHJ194;500;28/02/2017;Volumen Febrero;VOLUMEN
